,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
163,0.99992447074094,0.580012000020427,0.3420865963870644,,,1.0,0.9453181718958393,,1.0,,0.7074750276091538,1.0,0.8716733644005179,0.9223142377272567,0.5201640115348829,,근대,Noun
164,,,,,,,,,,,,,,,,,접근성,Noun
165,,,,,,,,,,,-1.0,,,,,,방문,Noun
166,,,,,,,,,,,,,,,,,게임,Noun
167,,,,,,,,,,,,,,,,,화장실,Noun
168,,,,,,,,,,,,,,,,,짜장,Noun
169,,,,,,,,,,,,,,,,,코카,Noun
170,,,,,,,,,,,,,,,,,아름다운,Adjective
171,,,,,,,,,,,1.0,,,,,,여행지,Noun
172,,,,,,,,,,,,,,,,,복어,Noun
173,,,,,,,,,,,,,,,,,포토,Noun
174,,,,,,,,,,,,,,,,,가빈,Noun
175,1.0,-1.0,,,,,,-1.0,,,,,-1.0,0.9999999999999999,1.0,,대장,Noun
176,,,,,,,,,,,,,,,,,중간,Noun
177,,,,,,,,,,,,,,,,,세상,Noun
178,0.676804783065975,1.0,-0.276341591948572,0.9999999999999998,,0.4979076113236509,0.30535965709560003,1.0,0.8842736070995243,,-0.1342722206129399,-0.3111633693519732,0.6734229222601972,0.3569308974159799,0.835339109147895,0.9532007081237777,크리스마스,Noun
179,,,,,,,,,,,0.8379213337808816,,-1.0,,,,관람,Noun
180,,,,,,,,,,,,,,,,,짬뽕,Noun
181,0.8680471109476924,-0.276341591948572,1.0,-1.0,1.0,0.9746636897812558,0.09728106458943743,,0.8999700125407781,,0.49895550800994953,1.0,-0.17270577992579264,0.07221042186136208,0.3436304922715837,-0.9999999999999999,경암동,Noun
182,,,,,,,,,,,,,,,,,가을,Noun
183,,,,,,,,,,,,,,,,,가게,Noun
184,,,,,,,,,,,,,,,,,처음,Noun
