단어,빈도수
다이소,5
다이슨,1
다이아몬드,1
다이어리,6
다이어터,2
다이어트,47
다짜고짜,1
다채롭,3
다층석탑,1
다쿠아즈,14
다큐멘터리,1
다했쥬,1
다홍색,1
닥치고,1
단감나무,2
단거리,2
단곈데,1
단고기,1
단기간,4
단독주택,5
단랜즈,1
단무지,48
단백질,8
단성면,1
단시간,1
단양군,5
단양읍,1
단양팔경,1
단언컨대,1
단원구,5
단월면,2
단장면,3
단전호흡,1
단체룸,1
단체사진,4
단체샷,2
단촐해,2
단팥빵,9
단풍나무,73
단풍미락,17
단호박,16
달걀노른자,1
달걀찜,6
달걀프라이,1
달고나,30
달님이,3
달라짐,2
달리기,7
달린다,6
달맞이,4
달맞이꽃,1
달성군,4
달짝새콤,1
달콤달콤,1
달콤새콤,1
달콤싸싸롬,1
달콤짭짜름,1
달콤한걸,1
달팽이,2
닭갈비,57
닭강정,9
닭개장,1
닭계장,3
닭고기,7
닭다리,8
닭도리탕,5
닭백숙,19
닭볶음탕,8
닭칼국수,2
담당자,4
담벼락,14
담았슴다,1
담양군,26
담양읍,14
담장이,5
담쟁이,4
답시고,1
답정너,1
당구대,2
당나라,2
당단풍,3
당단풍나무,3
당분간,16
당일치기,64
당진동,1
당진시,4
당진읍,1
당현천,1
대가리,1
대가족,3
대관령,3
대관령면,1
대교구,1
대구광역시,6
대규모,13
대극장,3
대기실,7
대기업,2
대기차,1
대나무,46
대다수,4
대대로,1
대덕구,3
대도시,6
대동강,1
대둔산,15
대들보,2
대리석,15
대리점,3
대마도,1
대머리,2
대명동,3
대명사,6
대방군,1
대법원,2
대보름,1
대부도,3
대부동,1
대산면,1
대산읍,2
대상자,4
대설주의보,1
대성공,3
대성당,5
대성동,1
대성전,10
대소원면,1
대신면,1
대양면,1
대왕암,1
대웅보전,18
대웅전,64
대원군,8
대원사,1
대유행,1
대의면,1
대자연,5
대장간,4
대장금,2
대장암,1
대장정,3
대재앙,1
대제학,1
대중교통,20
대지면적,1
대지주,1
대진항,2
대천해수욕장,5
대청댐,3
대청호,5
대체공휴일,1
대체로,16
대추야자,1
대추차,16
대치면,3
대통령,36
대포동,2
대학교,56
대학생,13
대학시절,1
대학원,2
대학자,1
대합실,3
대형룸,1
대형차,1
대형화,1
대환영,1
대흥동,1
대흥리,1
대흥사,13
댄쿠앤크,1
댑싸리,9
댕강댕강,1
댕댕플래닛,2
더구나,5
더군다나,9
더부륵,3
더블샷,1
더없이,11
더욱더,16
더욱이,6
더유워,1
더치커피,7
더하기,2
덕곡면,2
덕산면,1
덕수궁,1
덕숭산,2
덕양구,2
덕유산,25
덕지덕지,2
덕진구,8
덕천면,21
던지기,5
던킨도너츠,2
덤이쥬,1
덩굴식물,3
덩달아,7
덩어리,25
덮어서,1
데니안,2
데리야끼,2
데맵기,1
데스크,6
데스티니,4
데시벨,1
데이라이트,1
데이비드,31
데이즈,4
데이지,2
데이터,15
데이트,141
데프콘,1
델몬트,1
도가니탕,5
도갑사,1
도계서원,3
도구로,1
도깨비,4
도너츠,6
도농복합도시,2
도농복합시,1
도다샤,1
도다샤어긔,1
도담삼봉,2
도대체,22
도동서원,18
도라방스,3
도라에몽,1
도라지,24
도레미,3
도련님,10
도로공사,2
도로교통법,1
도로로,4
도로명,2
도로명주소,1
도로포장,2
도르뎡,3
도르레,1
도마뱀,5
도매시장,2
도무지,1
도보이,1
도블리,11
도블리네,3
도블리맘,4
도산서원,22
도서관,33
도솔봉,1
도솔암,1
도솔천,3
도시가스,1
도시락,24
도시숲,1
도시재생,23
도심지,4
도암면,2
도우미,3
도움말,1
도자기,12
도저히,19
도종환,1
도지사,2
도초도,2
도축장,1
도쿄올림픽,1
도토리,11
도토리묵,20
도톰판,2
도화지,2
독립기념관,1
독립운동,17
독립운동가,12
독립유공자,1
독버섯,1
독사진,1
독서실,30
독수리,1
독재자,1
독차지,1
돈가스,86
돈가쓰,2
돈까스,73
돈내코로,1
돈암서원,7
돈카쓰,1
돈코츠,1
돈코츠라멘,1
돋으샤,1
돌나물,2
돌다리,17
돌리지,2
돌멩이,2
돌방무덤,1
돌산읍,3
돌솥밥,47
돌솥밥안,1
돌솥비빔밥,8
돌았더랬,1
돌잔치,7
돌잡이,1
돌판위,1
돗자리,12
동검도,1
동계면,2
동고동락,1
동광양,1
동구릉,1
동국대학교,2
동국여지승람,5
동그라미,4
동글동글,5
동기부여,2
동남구,5
동남권,1
동남아,22
동남아시아,1
동남쪽,3
동났엌,1
동네예보,1
동대문구,7
동동주,12
동두천,4
동두천시,2
동래읍성,1
동명동,2
동명면,1
동문로,1
동물농장,4
동물원,14
동반성,1
동백꽃,2
동백나무,2
동백섬,1
동산병원,2
동서로,2
동성로,6
동송읍,2
동식물,8
동아리,2
동양인,1
동양화,2
동의보감,8
동이면,1
동일로,1
동일시,2
동족상잔,1
동진강,20
동진면,2
동창천,1
동창회,2
동춘당,1
동치미,14
동학사,2
동학운동,2
동학혁명,35
동해시,3
동해안,7
동호해수욕장,1
동호회,11
동화작가,1
동화책,4
돛단배,1
돼지갈비,74
돼지감자,3
돼지고기,124
돼지국밥,3
돼지껍데기,1
되겠댜,1
되겠쥬,1
되드라구,1
되세욤,1
되었슴,1
되었슴다,1
되었죵,2
되풀이,1
된장국,29
된장찌개,50
될고얌,1
됩니둥,1
두고두고,2
두꺼비,6
두더지,5
두둥낙,1
두둥실,1
두드러기,1
두레박,2
두려움,6
두루치기,11
두륜산,7
두릅나무,3
두만강,2
두메산골,2
두문동,1
두물머리,3
두바이,2
두번째,66
두부과자,1
두부김치,4
두산백,7
두스쿱,1
두승산,16
두촌면,1
두툼해,7
두툼했,1
두툼히,1
둑흔둑흔,5
둔산리,1
둘러보기,28
둘레길,53
둘이서,43
둥그런,4
둥근달,1
둥만둥,1
둥벙쓰,2
둥순둥,1
뒤엎은곳,1
뒤죽박죽,4
뒤통수,1
뒷걸음질,2
뒷골목,1
