단어,빈도수
원불교,1
원뿔형,1
원산지,25
원산항,1
원숭이,2
원운동,1
원자력,4
원자력발전소,1
원적외선,2
원전항,1
원주민,1
원주시,5
원평동,1
원피스,14
월계수,2
월곶면,1
월남쌈,71
월드컵,1
월드컵경기,3
월드콘,4
월미도,1
월봉샘,2
월성동,1
월성원자력발전소,1
월악리,1
월악산,2
월영교,14
월욜날,1
월정사,7
월출산,15
월포해수욕장,1
월풀덕,1
월행잉,1
웨건끌,1
웨딩촬영,1
웨딩홀,3
웨리단길,1
웨스턴,3
웨스트,1
웨이브,1
웨이팅,28
웨이퍼,1
웰니스,1
웰시코기,3
웹사이트,8
위기종,5
위너스,1
위덕왕,1
위령비,1
위메프,2
위생용품,1
위성사진,1
위아래,2
위원장,1
위원회,17
위장병,1
위천면,1
위태로웠던,1
위태롭다이날,1
위험성,1
윈도우,1
윗사람,1
유곡면,3
유곡천,1
유기농,33
유남쌩,1
유네스코,114
유년기,2
유니세프,1
유니콘,2
유니크,3
유당불내증,1
유람선,2
유레카,2
유료도로,1
유리온,1
유리잔,4
유리창,27
유리컵,2
유명산,4
유명인,3
유명인사,2
유모차,26
유바유,1
유병재,7
유병철,1
유부도,7
유부초밥,10
유사시,2
유산균,10
유상곡수,4
유상철,1
유성엽,5
유스퀘어,7
유실수,1
유아기,1
유아식,1
유안진,1
유연제,1
유원지,62
유의사항,3
유자명,1
유자차,18
유자청,3
유재남,1
유적지,34
유전자,3
유제품,3
유준상,1
유지관리,1
유지니,1
유지비,6
유지시,3
유창순,2
유채꽃,22
유치원,5
유투브,1
유튜버,3
유튜버입니,1
유튜브,48
유학생,3
유학자,8
유한회사,1
유행병,1
유형문화재,7
유형원,2
육각형,1
육개장,27
육두문자,1
육백원,1
육아휴직,1
육의전,2
육천원,1
윤가영,1
윤금선,1
윤동주,1
윤보선,1
윤봉길,7
윤블리,1
윤삼월,1
윤석중,1
윤선도,3
윤수지,1
윤시윤,1
윤여일,4
윤윤윤,1
윤이상,1
윤인선,1
윤지충,1
윤진이,1
율곡로,3
율림리,1
윰이사,1
윱슐랭,2
윱입니,2
윶형수,1
윷놀이,12
으랏차,2
으른들,2
으른입맛,1
으스스,1
으슬으슬,4
으쌰으샤저,1
은나라,3
은방울꽃,2
은선리,1
은연중,1
은의자,1
은장이,1
은하수,16
은행나무,27
을사늑약,5
을사조약,1
을씬연,1
읆조리,1
읊었다,3
읊었다고,1
음료수,44
음성군,3
음소거,2
음식물,17
음식사진,7
음악분수,14
음악회,3
음으로,2
음이온,1
음주운전,2
응급실,1
응급처치,1
응봉면,1
응호아,1
의령군,12
의료관광,1
의료기기,2
의병장,2
의사소통,2
의성군,1
의약품,2
의자왕,3
의정원,1
의주로,1
의지력,1
의창구,1
이강일,1
이강하,1
이거루,1
이거슨,6
이경호,2
이광복,1
이구경,1
이국주,2
이글루,11
이기대,2
이기세,1
이기심,1
이나고,1
이나라,1
이나무,1
이노베이션,1
이니스프리,1
이대교,1
이도재,1
이동국,6
이동면,1
이동식,4
이동재,1
이동해,11
이듬해,6
이디야,26
이라뇨,1
이랫다,1
이러헥,2
이렇슴다,1
이력서,1
이르렀다,2
이르렀던,1
이르케,2
이만원,1
이매역,1
이메일,7
이명원,1
이모저모,2
이모지,1
이모티콘,2
이몽룡,2
이무기,1
이문영,1
이미영,1
이미지,60
이바지,2
이방인,2
이벤트,132
이병호,1
이보영,2
이봉창,6
이비가,5
이비인후과,1
이뿌니,1
이쁘긔,1
이쁘댠,1
이쁘졍,1
이쁜긔,1
이쁜이,2
이쁠꼬,1
이사고,1
이사부,1
이사장,3
이사준,1
이산가족,1
이산화탄소,1
이상길,1
이상만,1
이상무,1
이상승,1
이상아,1
이상은,14
이상인,4
이상일,2
이상향,3
이상현,1
이서구,3
이서운,1
이성계,2
이성당,9
이송이,10
이숙성,1
이순신,34
이순신대교,2
이스트,1
이시이,1
이심전심,1
이쑤시개,1
이아주,5
이앙기,1
이어도,5
이어진,13
이어폰,4
이엘티,1
이연결,1
이열리,2
이열치열,6
이영주,1
이오나,1
이왕이면,5
이용구,1
이용권,8
이용도,4
이용문,1
이용수,4
이용실,1
이용자,15
이용주,1
이용태,3
이용했더랬,2
이웃집,1
이유리,4
이유식,1
이윽고,1
이은별,1
이이이이,1
이이이이이이이,1
이인기,1
이인상,2
이자벨,12
이장우,1
이정성,1
이정식,4
이정재,1
이정표,20
이제껏,3
이제야,27
이제일,1
이종건,1
이주연,1
이중문,2
이중섭,2
이지나,1
이지용,2
이진영,1
이찌할꼬,1
이창원,1
이처럼,10
이천원,5
이최응,2
이커뼤머스,1
이케아,2
이탈리아,11
이탈리안,6
이태일,2
이튿날,2
이틑날,1
이파리,11
이평면,31
이포보,1
이하나,3
이한복,1
이한우,1
이해도,1
이해력,1
이해용,1
이해인,1
이해찬,2
이해해,1
이현욱,1
이현재,1
이호동,1
이호섭,1
이화령,2
이회영,1
이효석,1
이희맹,1
익산역,7
익선관,1
익스트림,1
익어랏,1
익호오,1
인간관계,1
인계동,1
인공호,6
인내심,2
인더스,1
인더스트리얼,3
인덕션,5
인도교,1
인도네시아,2
인력거,1
인목대비,1
인문학,4
인물사진,4
인버터,2
인사동,64
인산인해,10
인생샷,20
인센티브,1
인셋트메뉴,1
인스타그램,66
인스탁스,1
인스턴트,3
인왕동,2
인절미,28
인정식,1
인정이,5
인제군,3
인제읍,1
인조잔디,7
인주면,1
인증샷,52
인증서,2
인지도,16
인지상정,3
인천공항,3
인천광역시,3
인천대,1
인터넷,63
인터뷰,5
인터파크,1
인터폰,1
인턴십,1
인프라,21
인피니티,1
인헬쉬,1
일가견,1
일곱시,1
일광면,1
일광욕,2
일광해수욕장,1
일기예보,14
일기장,1
일대기,2
일러스트,2
일렁일렁,1
일렉기타,1
일로읍,1
일만이천,1
일반인,4
일본군,12
일본도,1
일본말,2
일본사람,2
일본어,14
일본음식,1
일본주,1
일부러,49
일부분,4
일부인,5
일삼오오,1
일상생활,4
일석이조,13
일식집,1
일어나고,2
일어나서,14
일어나지,1
일어난다,1
일운면,3
일월오악도,1
일일이,3
일자리,41
일제시대,2
일주일,37
일직선,2
일찍이,7
일편단심,1
일회용,32
일회용품,6
임경희,1
임고면,3
임권택,25
임금님,13
임꺽정,2
임대료,3
임대주택,1
임랑해수욕장,1
임방울,1
임병찬,7
임산물,26
임산부,9
임수경,1
임시정부,3
임용고시,1
임자도,2
임진각,2
임진강,1
임진아,1
임진왜란,27
임팩트,2
임펙트,1
임형준,1
임화영,1
입가심,42
입구샷,1
입맞춤,1
입버릇,1
입암면,14
입암산,7
입암산성,3
입압산,1
입장권,54
입점리,1
입천장,6
입춘대길,1
입출국,1
입틀막,4
입학식,1
잆으셨다,2
잇님덜,2
잇님들,32
있겠죵,1
있구욘,1
있네욤,1
있네욬,1
있는룸,2
있는청평셋트,1
있다뇨,1
있다닝,1
있드라구,2
있드악,1
있숩니당,1
있슴니,2
있슴다,3
있슴다저,1
있슴동,1
있습니딘,1
있어욤,2
있엇네,1
있었긔,1
있었넹,2
있었댜,1
있었슴,1
있었죵,2
있음댜뿅,1
있쬬옴,1
잉글리쉬,1
잉글리시,2
잉어목,1
잉힐군,1
잎사귀,7
자가용,4
자갈길,3
자갈치,1
자격증,7
자금지원,1
자기만족,1
자기애,1
자기야,2
자꾸만,15
자넨딸기,1
자동차,37
자동화,2
자랑거리,4
자르르,2
자리야,1
자마자,61
자몽주스,8
자몽쥬스,13
자물쇠,5
자본주의,1
자부심,20
자산운용,1
자신감,8
자아도취,1
자양강장제,4
자연도,3
자연보호,1
자연석,9
자연인,1
자연자원,1
자연재해,5
자연환경,6
자연환경연수원,1
자연휴양림,30
자외선,2
자원봉사,3
자유민,1
자유수호,2
자유시간,3
자유여행,2
자율성,1
자은도,1
자은면,1
자이언트,4
자일리톨,1
자작나무,1
자장면,12
자전거,133
자전차,1
자존감,1
자존심,1
자주독립,2
자주색,2
자줏빛,3
자체발광,1
자치기,2
자치행정,1
자칫하면,3
자쿠지,1
자타공인,1
자투리,4
자판기,17
자화상,1
자화자찬,4
자회사,3
작대기,1
작살나무,3
작성자,3
작업실,1
작은딸,1
작은말,1
작은방,5
작은아들,3
작은아버지,1
작품하나,1
잔기침,1
잔디밭,30
잔병치레,1
잔뿌리,1
잔소리,8
잔재미,1
잔치국수,11
잔톱니,1
잘짜른다,1
잘해야,3
잘했댜,1
잠금장치,1
잠꾸러기,1
잠두봉,1
잠만보,1
잠수교,1
잠자리,9
잠재력,2
잠정목록,7
잡았더랬,1
장거리,28
장구도,1
장국밥,1
장기면,1
장기영,1
장기철,1
장기판,1
장난감,19
장단점,1
장대비,3
장도연,1
장독대,13
장래희망,1
장례식,3
장로회,1
장마전선,1
장마철,4
장맛비,4
장맛속,1
장명동,52
장모님,7
장목면,1
장미꽃,7
장미나,1
장바구니,3
장바닥,1
장보고,5
장보기,1
장본인,1
장사시,4
장사진,2
장산도,1
장산로,217
장성군,39
장성읍,4
장성호,51
장소라,1
장수군,9
장수로,1
장수읍,1
장수풍뎅이,2
장순천,1
장승업,1
장시간,6
장식품,8
장아찌,61
장안구,1
장안산,5
장안읍,2
장애물,2
장애우,1
장애인,23
장어구이,19
장어즙,1
장영란,1
장읍시,1
장인어른,1
장인정신,1
장자도,1
장작더미,1
장정식,13
장조림,3
장지문,1
장지원,2
장충동,1
장학금,1
장항선,1
장호항,1
장흥군,2
재개발,1
재건축,2
재규어,2
재능기부,1
재떨이,1
재래시장,11
재래식,3
재미나,6
재밋게,1
재사용,2
재산관리,1
재스민,2
재작년,6
재주껏,1
재탄생,8
재택근무,1
재테크,18
재활용,4
잼버리,3
잼써퓨웅,1
잿말랑,1
쟁반짜장,9
쟁이셔,1
쟁점들,1
쟁탄전,1
저고리,3
저구항,1
저녁때,4
저녁밥,22
저녁식사,21
저만큼,4
저수량,3
저수지,204
저에욤,1
저작권,9
저작권법,2
저절로,40
저쩌구,1
저출산,1
저학년,2
저혈압,1
적당량,5
적뚜마,2
적멸보궁,1
적상면,1
적설량,1
적성면,2
적양배추,3
적응도,1
적재적소,2
적투마,1
적혀잇쥬,1
전곡읍,2
전곡항,1
전공자,2
전국체전,1
전국투어,7
전기난로,1
전기밥솥,2
전기자전거,2
전기장판,2
전기차,5
전기포트,4
전나무,5
전남대,6
전남도,3
전남친,5
전단지,2
전도사,13
전동성당,5
전동차,8
전등사,1
전라남도,67
전라북도청,4
전라선,5
전립선,1
전망대,345
전망타워,1
전문가,28
전문대,2
전문성,1
전문점,79
전문학교,1
전민경,1
전복돌솥밥쪼아쪼,1
전복장,27
전복죽,4
전봉준,146
전부일,1
전북대,4
전북도,15
전북도지사,2
전북도청,4
전북일보,6
전북지사,2
전북현대,2
전성기,2
전세계,4
전세버스,1
전수영,1
전시관,65
전시장,5
전시품,4
전시회,17
전신주,1
전야제,2
전에트,1
전원주택,5
전자레인지,9
전자렌지,5
전자선,1
전자제품,3
전주객사,2
전주대,2
전주대학교,3
전주동물원,14
전주성,5
전주역,4
전주지방검찰청,1
전주천,2
전체샷,4
전통문화,20
전통미,3
전통빵까눌레,1
전통주,3
전현무,1
전화영,1
전화통화,1
절구통,1
절대로,8
절레절레,1
절이도,1
절체절명,1
젊은이,9
점바점,1
점박이,2
점심때,13
점심밥,4
점심시간,120
점심식사,25
점점이,1
점층법,1
접근성,30
접시꽃,5
접이식,2
접착제,2
젓가락,65
정가랗,1
정강이,1
정거장,4
정겨운,29
정과정,1
정극인,37
정글짐,1
정금나무,3
정기권,1
정남진,9
정다운,2
정대현,1
정동진,3
정류장,22
정리정돈,3
정림사지,3
정말루,3
정면도,1
정명도,1
정몽주,1
정묘호란,1
정문술,2
정문화,1
정민주,1
정반대,2
정보검색,2
정보라,1
정보석,1
정보처리,1
정보화,1
정비공,1
정산면,1
정상인,3
정서연,2
정서진,1
정선군,6
정성껏,12
정성만,1
정수기,13
정수리,4
정순왕후,1
정신과,5
정안면,2
정안휴게소,1
정암사,1
정약용,2
정여립,1
정여창,7
정우당,1
정우면,8
정우성,1
정원관,1
정원사,4
정원수,3
정원식,2
정유림,1
정유재란,6
정육점,18
정읍군,4
정읍기상대,1
정읍사,594
정읍세무서,24
정읍스벅,1
정읍여고,2
정읍역,229
정읍우체국,2
정읍학숙,1
정읍현,35
정이천,1
정주시,1
정주역,1
정주읍,1
정주하,1
정지상,3
정지용,1
정지인,1
정천면,4
정치가,1
정치권,1
정해진,11
정혁진,1
정현준,1
정형외과,1
정혜루,20
정혜루는,1
정호승,6
정화수,2
정화암,1
제각각,4
제각기,3
제과점,22
제과제빵,1
제기차기,10
제네시스,1
제노포비아,1
제리코,7
제부도,2
제약회사,1
제원면,1
제이레빗,2
제이스,1
제일고,1
제자리,5
제작비,1
제조업,1
제주시,12
제천시,7
젠트리피케이션,1
젤라또,56
져버렷겠구,1
졈그랄셰,1
조각가,2
조각보,1
조각상,8
조각품,2
조감도,5
조개류,1
조개찜,2
조경수,1
조경이,19
조경철,1
조계종,6
조광조,2
조그만,10
조달청,1
조롱박,2
조롱조롱,1
조리법,1
조마면,1
조마조마,1
조만간,55
조명도,30
조명등,1
조명하,1
조목조목,1
조미료,7
조병갑,26
조사리,2
조사해,1
조선문학,1
조선시대,72
조선왕조,31
조선인,1
조선조,1
조선통신사,1
조선팔경,1
조성면,1
조성은,1
조성하,17
조승우,1
조안면,2
조양동,1
조오오,2
조용조,3
조용필,1
조윤서,1
조정석,1
조정현,3
조정호,1
조차장,1
조천읍,1
조치원,3
조팝나무,2
조합원,1
조형성,1
조화로,6
조화로움,1
족제비,3
족제비싸리,1
존경심,1
존꿀맛,1
존맛담,1
존맛임,3
존맛탱,4
존잼빈,1
존존존존맛,1
졸업생,1
졸업식,1
졸졸졸,4
졸졸졸졸,2
좀벌레,1
좀처럼,8
종교인,1
종로구,4
종묘서,1
종소리,3
종아리,2
종업원,4
종이컵,16
종잇장,1
종잣돈,1
종황길,3
좋겠쥬,1
좋구룸,1
좋드라구,2
좋슴다,1
좋습니댜,1
좋아힌,1
좋았댜,1
좋았슈슈,1
좋았슘미,1
좋았슴다,3
좋았죵,2
좋앟어,1
좋은겐,1
좋은뎁,1
좋은쫄깃,1
좌르르,7
좌수사,2
좌회전,5
죄수복,1
죄책감,1
죠리퐁,5
죠아죠,1
주객전도,1
주거지,5
주거지역,2
주교동,1
주교좌,1
주근깨,1
주글뽄,1
주기도,12
주꾸미,4
주돈이,1
주둥이,1
주렁주렁,5
주룩주룩,6
주르르,1
주르륵,4
주머니,9
주먹밥,19
주먹질,1
주무관,2
주문모,1
주문진읍,1
주물럭,57
주물럭안,1
주민드,1
주민등록,5
주방용품,1
주변인,3
주상절리,4
주섬주섬,1
주세붕,5
주소지,2
주식회사,2
주얼리,1
주왕산,7
주우정,2
주유소,9
주의보,2
주인공,34
주자학,1
주전부리,39
주전자,19
주제가,2
주지훈,4
주진천,2
주짓수,3
주차공간,75
주천면,2
주춧돌,1
주택가,21
주현지,1
주화니,1
주황색,8
죽림교,2
죽림리,1
죽방렴,1
죽변면,1
죽산면,2
죽왕면,2
준비물,10
줄거리,3
줄고사리,2
줄넘기,1
줄무늬,2
줄줄이,5
줏어먹,1
중간지점,10
중계방송,1
중고생,7
중국말,1
중국산,9
중국어,4
중국요리,3
중국음식,4
중국인,4
중국집,72
중대사,1
중동면,1
중부내륙,1
중부지방,2
중산동,1
중산층,1
중소기업,6
중심부,8
중심시가지,2
중심지,14
중앙시장,2
중앙정부,1
중요성,8
중입자,1
중장비,72
중학교,11
중학생,8
중화요리,13
쥐꼬리,1
쥐똥나무,1
쥬라기,1
쥬씨해,1
쥬얼리,4
쥬팀장,1
쥰맛탱,1
즉석식품,1
즉석카메라,1
즐거움,44
증도면,1
증맬루,2
증명사진,2
증명서,4
증산동,1
증심사,5
증장천왕,1
지구대,1
지구본,8
지구온난화,1
지구인,2
지국천왕,1
지그시,1
지그재그,2
지금껏,4
지난날,2
지난달,4
지난번,51
지난주,27
지난해,32
지니어스,1
지도사,1
지도읍,1
지도자,22
지렁이,1
지름길,1
지름신,1
지리산,46
지린성,2
지못미,1
지방공무원법,1
지방도,2
지방산,1
지방선거,1
지방세,2
지방자치단체,3
지방직,1
지방질,4
지산동,1
지상파,1
지성인,2
지식인,4
지아비,1
지에스,1
지역구,1
지역별,4
지역화,2
지역화폐,4
지우개,1
지원이,1
지은지,1
지이미,1
지자체,21
지장보살,3
지정면,4
지정석,2
지정식,1
지중해,13
지지대고개,1
지진희,1
지친닼,1
지평선,3
지푸라기,11
지품면,1
지피츠,1
지하실,1
지하차도,3
지하철,4
직격탄,2
직사각형,4
직수입,1
직업병,1
직장인,15
진국사,1
진남관,1
진달래,6
진달래꽃,1
진도개,1
진도군,4
진도대교,3
진도리,5
진도아리랑,1
진도읍,1
진돌이,1
진돗개,1
진두선착장,1
진라면,1
진로소주,1
진보면,1
진부령,1
진부면,1
진서면,5
진실게임,1
진실성,1
진안고원,2
진안군,21
진안읍,3
진안현,1
진압군,1
진압할,1
진양호,2
진위면,2
진저리,1
진절머리,1
진접읍,1
진주시,6
진주읍,1
진진스,1
진짜루,4
진짜진짜,6
진천군,1
진천읍,1
진해구,2
진해군항제,1
진해대로,1
진행자,2
진행중,17
진행형,2
진호야,1
진홍색,1
질겅질겅,1
질식사,1
질퍽거릴,1
짊어지,2
집강소,2
집들이,12
집라인,6
집무실,1
집배원,1
집사람,2
집안일,4
집주인,2
집펜션,1
징글징글,1
짚라인,13
짜임새,1
짜장면,60
짜파구리,3
짝사랑,2
짝숫날,1
짝짓기,1
짝짝이,1
짬짜면,3
짭조롬,4
짭짜롬,1
짭짜름,2
짭쪼금,2
짭쪼롬,11
짭쪼롭,2
짭쪼름,14
짭쪼름달달,1
짭쪼름하,2
짭쪼름해,3
짱뚱어,3
짱아찌,7
짱이쥬,1
쨔쟈쟌,1
쩌렁쩌렁,1
쪼금쪼금하,1
쪼꼬맣,1
쪼꼬매,1
쪼꼬미,6
쪼꼬미들,2
쪼끄만하,1
쪼끄매,1
쪼르려,2
쪼매난거,1
쪼아대,2
쪼올깃쪼,1
쪼옵쪼옵,1
쪼재니,1
쫀득거리,2
쫀득쫀,4
쫀득쫀득,13
쫀득쫀득한,1
쫀득쫀득함,2
쫀득쫀득해,3
쫀득하,12
쫀득한거,1
쫀득한맛,1
쫀득함,3
쫀득합니,1
쫀득해,7
쫀득했으,1
쫀맛탱,2
쫀쫀커알못,1
쫀쫀탱글,1
쫀쫀하,2
쫀쫀하쥬,1
쫀쫀함,2
쫀쫀해,1
쫄깃쫄,5
쫄깃쫄깃,17
쫄깃쫄깃하,1
쫄깃쫄깃한,1
쫄깃쫄깃함,1
쫄깃하,8
쫄깃한,1
쫄깃한식감,1
쫄깃할,1
쫄깃함,13
쫄깃해,7
쫄깃했,1
쫄깃했다,1
쫄래쫄래,1
쫄았는데,1
쫘르르,1
쫘르륵,1
쫜득입니,1
쫜득쫜득,1
쫜득쫜득한,1
쫜득쫜득환상,1
쫠깃쫄깃,1
쫠깃쫠깃,1
쫠깃하,1
쭈글쓰,1
쭈꾸미,17
쭈르르,1
쭈뼛쭈뼛,1
쭈와아아압,1
쭈와압,1
쭈왑쭈왑,1
쭈우욱,2
쭈욱쭈욱,2
쭉쭉쭉,1
찌꺼기,6
찌뿌둥하,1
찍는뎈,1
찍어둘껄,1
찍어봤슴다,1
찍어쥬겐,2
찍엇쭘,1
찍었슴다,1
찍었슴돠,1
찍었쥬,1
찍은겈,1
찍혓어,1
찎어줘,1
찐으른,1
찜질방,12
찜콩해,2
차곡차곡,1
차근차근,6
차돌박이,5
차라리,20
차례대로,8
차림새,2
차림표,6
차별성,2
차셋트,1
차이나,1
차이나타운,1
차이점,6
차학연,1
차황면,1
착츱주스,1
찬무쌈,2
찬송가,1
찰보리,1
찰보리빵,1
참가인,1
참가자,1
참고문헌,1
참고자료,2
참기름,25
참나무,6
참나물,4
참붕어,3
참석자,1
참았더랬,1
참여자,5
참예우,1
참으로,45
참이슬,1
참전용사,1
참취속,1
참치회,5
찹쌀떡,4
찻그릇,1
찻주전자,1
창경궁,2
창녕군,1
창덕궁,1
창시자,1
창원시,5
창의력,1
창의성,1
창조주,1
창평면,2
창피해,1
창호지,1
찾겠넹,1
채끝살,3
채석장,2
채소우러,1
채송화,4
채송화꽃,2
책꽂이,1
챌린지숍,4
챠르르,1
챱챱하,1
처갓집,2
처용가,2
처용무,1
처음봤슘미,1
처음처럼,1
척화비,1
천고마비,1
천곡사,1
천관산,2
천도교,3
천만다행,2
천만배,1
천만원,1
천문관,1
천문대,7
천방지축,1
천신만고,2
천안문,2
천안시,7
천안아산역,1
천연기념물,18
천오백원,3
천왕문,21
천일염,4
천주교,11
천주교회,3
천지연,3
천지인,2
천지일보,8
천진암,3
천차만별,1
천체관측,6
천체망원경,4
천포항,1
천황봉,1
천황사,1
철도노선,1
철도역,2
철도차량,1
철버덕,1
철원군,4
철인왕후,2
첨가제,1
첨단과학관,4
첨부파일,10
첨성대,12
첫걸음,2
첫머리,2
첫인상,7
청각장애,6
청간정,1
청개구리,2
청경채,17
청계동,3
청계면,1
청계산,1
청계천,1
청구인,1
청국장,129
청귤맛,1
청귤차,13
청나라,4
청남대,4
청도군,3
청동기,2
청동기시대,5
청량감,22
청량리,1
청량리역,17
청량음료,2
청량청량날씨,1
청령포,1
청류암,2
청명절,1
청보리,6
청보릿골,6
청산도,7
청산면,1
청산유수,6
청샘골,21
청샘골제,1
청샘골청샘골,1
청설모,3
청소기,6
청소년,54
청송군,4
청양고추,15
청양군,4
청와대,1
청운면,1
청원군,3
청일면,1
청주시,6
청지기,5
청평셋,1
청포도,43
청하면,3
청호동,1
체감온도,1
체련장,1
체르니,1
체세포,1
체온계,4
체육관,30
체인점,30
체인지,6
체크아웃,20
체험학습,18
초가을,4
초가집,11
초고추장,5
초등학,1
초등학교,58
초등학생,18
초록빛,12
초록색,41
초롱꽃목,1
초롱조,2
초롱초롱,1
초롷구,1
초막골,1
초보자,2
초산동,3
초상권,7
초상화,4
초승달,3
초식동물,1
초여름,7
초월읍,1
초음파,1
초이스,18
초저녁,1
초지일관,1
초컬릿,2
초코우유,11
초코케익,7
초코쿠키,10
초코파이,2
초콜렛,11
초콜릿,14
초콜릿우유,2
초토화,1
초파리,1
초파일,2
초하루,2
촉촉겉바,1
촉촉쫀득,1
촌귀탱,1
촘촘하,3
총각김치,1
총감독,1
총동원,2
총지휘관,1
촤라락,1
촤르르,4
촤르르륵,1
촤르르륽,1
촥촥하,1
촬영장,3
촵촵찹,1
최경주,1
최고근,1
최고급,23
최고다,11
최고봉,10
최대한,38
최동석,1
최명희,2
최무성,1
최상규,1
최상급,3
최성수,3
최소한,2
최수민,1
최승진,1
최시형,1
최신영,1
최우수상,2
최익현,11
최인호,1
최작가,1
최재용,1
최재우,1
최적화,6
최전선,1
최정윤,2
최제우,3
최지원,2
최진영,1
최첨단,4
최치원,74
최태훈,1
쵸이스,1
쵹쵹하,1
추령재,1
추사체,1
추어탕,10
추웁네,2
추웁다,1
추월산,8
추전역,1
추진단,1
추추추,1
축구공,1
축구선수,2
축구장,10
축구화,2
축령산,8
축산물,7
축음기,1
축하공연,3
춘산면,1
춘천댐,1
춘천명동,4
춘천시,5
춘추관,2
출근길,7
출근시간,3
출렬사,1
출발점,6
출입구,9
출입문,20
출입통제,3
출장소,1
출퇴근,2
출퇴근길,2
출판물,1
출판사,1
충렬사,49
충렬왕,1
충무공,26
충전기,22
충정로,33
충정왕,1
충주시,9
충주호,1
충청남도,7
충청북도,1
충혜왕,1
충혼탑,9
충효동,1
충효문,1
취나물,3
취뽀해,1
취수원,1
취식일,1
취저였던,1
취준생,1
취했다,2
취했던,3
취했어,1
취했으,1
취헙니,1
취화선,2
취히선,1
츄러스,1
츄르릅,1
츄베릅,1
측정기,2
츤데레,1
층층나무,1
치드너낌,1
치루면,1
치마저고리,1
치맛살,1
치아바타,27
치악산,4
치와와,1
치즈떡볶이,4
치즈볼,13
치즈스틱,1
치즈케이크,46
치즈케잌,2
치히로,4
친구사이,1
친구여,1
친구쫑햐,1
친돈친산,1
친언니,2
친일파,1
친자연,1
친정엄마,9
친한척,1
친한친구,1
친화력,1
친환경,31
칠갑산,1
칠곡군,4
칠곡보,1
칠리소스,18
칠면조,1
칠백삼,1
칠보면,71
칠보산,37
칠천도,1
칠천원,2
칠층석탑,2
칠팔천원,1
침곡역,1
침례교회,5
침엽수,3
침팬지,1
칭구들,2
칭구들껀,1
칭맛임,1
카네이션,5
카니발,2
카라멜,36
카라반,64
카롱카롱,1
카메라,123
카모마일,3
카바레,1
카사바,2
카스테라,30
카스텔라,3
카스트제,1
카시트,2
카오팟,1
카와이,3
카운트,2
카운티,2
카운팅,1
카자흐,1
카자흐스탄,3
카자흐스탄어,1
카지노,2
카카오,36
카카오스토리,1
카키색,1
카테고리,2
카톨릭,1
카트리지,2
카페나,9
카페라떼,82
카페모카,7
카페인,92
카페인제,1
카페테리아,3
카펜데,1
카포네,3
카푸치노,5
카프레,4
카프리,1
카프리섬,1
칵테일,16
칸막이,25
칸영화제,2
칸칸이,1
칼국수,398
칼럼니스트,2
칼로리,12
칼제비,1
칼테콧,1
캄보디아,2
캐나다,3
캐리어,5
캐릭터,21
캐모마일,7
캐스터,1
캐피탈,2
캔디바,1
캔버스,2
캘리그라피,11
캘리그래피,2
캠퍼스,4
캠페인,18
캠프장,1
캠프파이어,1
캠핑러,2
캠핑장,216
캠핑카,9
캡숑짱임,1
캬라멜,6
캬캬캬,1
캬캬캬캬,3
캬캬캬캬오랜,1
커머스,1
커몬커몬,2
커뮤니케이션,1
커뮤니티,4
커미션,1
커버린껄까,1
커스타드,9
커스터드,7
커여웠던,1
커팅식,1
커플룩,2
커플룸,1
커플사진,3
커플샷,1
커플티,4
커피가게,6
커피믹스,1
커피숍,78
커피잔,7
커피전문점,30
커피집,2
커피콩,30
커피타임,4
커피포트,7
커피하우스,1
커피한잔,48
컨디셔너,2
컨디션,17
컨벤션,1
컨설턴트,1
컨설팅,9
컨시셔너,1
컨츄리,1
컨테이너,6
컨텐츠,8
컨트롤,2
컨트롤러,1
컨트리클럽,6
컬러링,3
컬러풀,1
컴백홈,1
컴퓨터,29
컵라면,9
컵케이크,3
컵홀더,15
컷팅하,2
케꿀팁,1
케에블카,1
케이드,1
케이블,15
케이블카,470
케이스,4
케이준,1
케이쿠,1
케이크,414
케이트,2
켈렉션,1
코끼리,3
코다리,29
코딱지,2
코란도,1
코레일,16
코로나바이러스,14
코리아,6
코멘트,2
코발트,1
코스모스,66
코스터,3
코스트,24
코스프레,1
코쓱머쓱,1
코엑스,1
코오롱,2
코웃음,1
코웨이,1
코코넛,14
코코몽,10
코코아,8
코코팜,1
코키아,1
콕마욘이,1
콘도미니엄,2
콘서트,3
콘센트,16
콘셉트,7
콘스프,1
콘치즈,2
콘크리트,7
콘테이너,1
콘텐츠,33
콜라보,11
콜럼버스,1
콜레라,1
콜레스테롤,3
콜센터,1
콤달콤,18
콤바인,1
콧구멍,6
콧노래,4
콧바람,6
콧바람쐴겸,1
콧소리,1
콧수염,1
콩가루,7
콩국수,100
콩나물,87
콩나물국,5
콩수니,8
쿠기들,1
쿠앤크,3
쿠크다스,1
쿠키앤크림,4
쿨옵불,1
쿰쩍쿰척,1
쿰척쿰척했어,1
쿵닥쿵닥,1
퀄리티,43
퀘스트,1
퀵서비스,1
퀵스냅,1
큐레이터,4
큐티뀨티,2
크라상,1
크라운,11
크라운맥주,1
크라제버거,1
크래커,5
크랜베리,14
크랜베리스,1
크러쉬,2
크런치,12
크레마,4
크레이프,8
크레인,2
크레파스,3
크레페,14
크레피,1
크렌베리,3
크렘브륄레,5
크렘브륄레한때,1
크로스,1
